GEN_TsB;INV_S;PFC_Ia;PFC_Ib;PFC_Ic;PFC_VBus;InjectorDuty;T13;T2;w9;T91;T41_44_avg
375,0;306,0;7,6;7,7;7,7;716,7;0,4;318,9;334,5;140558;401,7;1101,4
375,0;306,0;5,8;5,3;5,1;690,0;0,5;319,0;334,5;141326;401,2;1101,4
375,0;305,2;5,2;4,9;4,8;674,2;0,5;318,9;334,5;139908;401,2;1101,4
375,0;306,5;6,4;6,3;6,2;698,7;0,4;318,9;334,5;141211;401,3;1101,3
375,0;304,9;5,6;5,3;5,1;672,7;0,5;318,9;334,5;140232;401,5;1101,3
375,1;304,1;11,6;12,1;11,3;683,1;0,4;319,0;334,5;140188;401,3;1101,3
375,1;304,5;11,1;11,5;10,8;679,6;0,5;319,0;334,5;139585;401,2;1101,4
375,0;306,3;7,6;7,7;8,5;731,4;0,5;318,9;334,5;140241;400,8;1101,4
375,0;305,6;5,8;5,2;5,1;688,8;0,5;318,9;334,5;140337;400,5;1101,4
375,0;305,8;5,5;4,8;4,6;686,0;0,5;319,0;334,5;140081;400,6;1101,4
375,0;304,0;12,0;12,2;11,6;684,2;0,5;319,0;334,5;139101;400,7;1101,3
375,1;305,6;7,6;8,0;8,3;728,4;0,5;319,0;334,5;138440;400,8;1101,2
375,0;305,9;7,6;7,9;7,8;719,4;0,5;318,9;334,5;141335;400,9;1101,2
375,0;305,0;5,2;4,8;4,7;674,7;0,5;318,9;334,5;140081;401,1;1101,2
375,1;304,5;11,5;11,3;11,1;696,9;0,4;319,0;334,5;140146;401,0;1101,2
375,1;304,9;10,6;10,1;10,5;706,6;0,5;319,0;334,5;138220;401,3;1101,2
375,0;305,7;7,3;7,5;7,5;713,0;0,5;319,0;334,5;140508;401,3;1101,2
375,0;304,4;10,1;10,9;10,1;673,4;0,5;319,0;334,5;140191;401,2;1101,2
375,1;304,7;11,7;12,0;11,4;680,3;0,5;319,0;334,4;139500;401,6;1101,1
375,1;306,1;7,8;7,8;8,8;731,9;0,5;319,0;334,4;140912;401,3;1101,1
375,1;305,1;5,2;4,7;4,5;683,4;0,5;319,0;334,4;141369;401,1;1101,1
375,0;304,9;5,5;5,0;4,9;673,8;0,4;319,0;334,5;139895;401,0;1101,1
375,2;304,9;8,8;8,2;9,3;721,9;0,4;319,1;334,5;139826;401,0;1101,1
375,0;305,0;5,2;4,7;4,4;681,9;0,5;319,1;334,5;141156;401,4;1101,1
375,1;304,6;6,3;6,0;6,0;671,6;0,5;319,0;334,4;139138;401,8;1101,1
375,1;305,9;7,6;8,0;8,6;731,4;0,4;319,1;334,4;140426;402,0;1101,1
375,0;304,5;10,7;11,5;10,7;675,6;0,5;319,1;334,5;140062;403,0;1101,1
375,1;304,7;11,0;10,6;10,7;703,5;0,5;319,0;334,5;139847;403,0;1101,1
375,1;305,5;5,6;4,9;4,8;686,3;0,5;319,0;334,4;139869;402,7;1101,1
375,0;305,3;8,1;7,5;9,0;726,7;0,5;319,1;334,5;138719;402,9;1101,1
375,1;305,5;7,8;8,2;8,4;730,3;0,5;319,1;334,5;140139;402,7;1101,1
375,1;304,5;10,5;10,9;10,4;673,4;0,5;319,1;334,4;138317;402,9;1101,0
375,1;306,1;7,8;7,9;7,8;719,2;0,5;319,1;334,4;139120;403,0;1101,0
375,1;305,6;5,6;5,0;4,8;686,3;0,5;319,1;334,4;140210;403,1;1101,0
375,1;304,6;11,5;12,0;11,0;687,8;0,5;319,1;334,5;138288;403,4;1101,0
375,2;306,0;7,5;7,8;7,8;723,1;0,5;319,0;334,5;138249;403,2;1101,0
375,1;306,5;7,4;7,6;7,4;713,7;0,5;319,0;334,4;141363;403,3;1101,0
375,1;305,7;6,1;6,0;6,0;671,5;0,5;319,0;334,4;140286;403,3;1101,0
375,0;304,1;11,7;12,0;11,4;689,4;0,4;319,0;334,4;140252;402,7;1101,0
375,1;304,1;11,8;12,2;11,5;683,6;0,5;319,1;334,4;139660;402,5;1101,0
375,3;305,8;7,5;7,8;8,6;731,6;0,5;319,0;334,4;139800;402,1;1101,0
375,2;305,4;6,4;6,1;6,0;696,4;0,5;319,0;334,5;140691;402,2;1101,0
375,2;304,8;5,3;4,8;4,7;684,9;0,5;319,0;334,5;140188;402,1;1101,0
375,1;303,9;11,8;12,2;11,3;690,2;0,5;319,0;334,5;138287;402,0;1101,0
375,1;305,7;7,4;7,6;7,6;718,9;0,5;319,0;334,4;138706;401,9;1101,0
375,1;306,2;6,6;6,3;6,2;699,6;0,5;319,0;334,4;140262;401,8;1101,0
375,1;304,7;11,2;11,6;11,0;676,8;0,5;319,0;334,4;139808;401,8;1101,0
375,2;304,9;8,6;7,9;9,1;723,2;0,5;319,0;334,4;139780;401,8;1101,0
375,2;305,4;8,2;7,6;8,9;725,8;0,5;319,0;334,4;139097;401,9;1101,0
375,2;305,7;6,9;6,9;6,7;702,9;0,5;319,0;334,4;140464;401,9;1101,0
375,1;303,8;9,3;9,5;9,3;671,1;0,5;319,0;334,4;140640;402,0;1101,1
375,1;304,2;9,0;9,2;8,9;669,1;0,5;319,0;334,5;139928;401,8;1101,1
375,2;305,1;9,1;8,3;9,3;719,8;0,5;319,0;334,5;138265;401,8;1101,1
375,1;305,9;7,6;7,7;7,7;714,8;0,5;319,0;334,5;138255;401,7;1101,1
375,1;305,8;7,2;7,4;7,3;713,2;0,5;318,9;334,4;141063;401,8;1101,1
375,1;306,2;5,0;4,4;4,3;678,0;0,5;318,9;334,4;141113;401,6;1101,2
375,2;304,6;7,6;7,8;7,5;669,8;0,4;318,9;334,4;140788;401,6;1101,2
375,2;305,3;5,3;4,5;4,4;681,3;0,4;318,9;334,4;140561;401,8;1101,2
375,1;304,6;9,5;9,8;9,4;670,8;0,4;318,9;334,5;140060;401,8;1101,2
375,2;304,3;9,5;8,8;9,7;716,5;0,5;319,0;334,4;140124;402,0;1101,2
375,2;305,0;9,6;8,9;9,8;717,4;0,5;319,0;334,4;138215;402,1;1101,2
375,2;305,8;7,3;7,5;7,4;714,1;0,5;319,0;334,4;141196;402,0;1101,3
375,2;305,2;7,0;6,7;6,7;669,6;0,5;319,0;334,4;141207;402,0;1101,3
375,2;305,3;5,0;4,4;4,3;681,5;0,4;318,9;334,4;140215;402,0;1101,3
375,1;304,4;11,6;11,7;11,2;691,9;0,4;318,9;334,6;138158;402,0;1101,3
375,2;306,2;7,6;8,0;7,9;722,2;0,5;319,0;334,6;138581;402,1;1101,3
375,2;305,6;7,0;6,8;6,6;703,0;0,5;319,0;334,5;140639;401,8;1101,4
375,2;303,4;10,1;10,6;10,1;671,1;0,5;318,9;334,5;140003;401,9;1101,4
375,2;304,9;8,2;7,6;8,9;723,4;0,5;318,9;334,5;139882;401,7;1101,4
375,2;304,5;8,6;7,9;9,3;724,4;0,5;318,9;334,5;138224;401,8;1101,5
375,2;305,9;7,1;7,2;7,1;709,7;0,5;318,9;334,5;141388;401,6;1101,5
375,2;305,2;5,3;4,8;4,6;674,3;0,5;318,9;334,5;140913;401,4;1101,5
375,2;305,6;5,8;5,1;5,0;687,5;0,4;318,9;334,5;140098;401,4;1101,5
375,2;304,2;10,6;11,1;10,4;674,2;0,4;318,9;334,4;139676;401,6;1101,6
375,2;305,4;8,0;7,7;8,9;731,9;0,5;318,9;334,5;139449;401,4;1101,6
375,2;305,7;7,8;8,0;8,6;732,6;0,5;318,9;334,5;140682;401,4;1101,6
375,2;305,1;5,3;4,6;4,5;679,3;0,5;318,9;334,6;140209;401,5;1101,6
375,2;305,2;10,7;10,2;10,5;706,3;0,5;318,9;334,6;139845;401,5;1101,6
375,3;305,3;8,2;7,7;9,2;729,0;0,5;318,9;334,5;140175;401,5;1101,7
375,2;305,3;5,7;5,0;5,0;687,8;0,5;318,9;334,5;139775;401,7;1101,7
375,3;305,6;8,5;7,9;9,0;724,3;0,5;318,9;334,5;138364;401,6;1101,7
375,2;305,7;7,6;7,8;7,7;718,6;0,5;318,9;334,5;140087;401,6;1101,7
375,2;304,3;10,8;11,5;10,5;676,2;0,5;318,9;334,5;138195;401,7;1101,7
375,2;306,1;7,5;7,7;7,7;717,7;0,5;318,9;334,4;139259;402,1;1101,7
375,3;305,5;5,7;5,1;5,0;688,5;0,5;318,9;334,4;139997;402,0;1101,8
375,2;304,2;11,8;12,0;11,4;693,2;0,5;318,9;334,4;139374;401,9;1101,8
375,3;305,5;7,6;7,7;8,5;731,4;0,5;318,9;334,5;139501;402,1;1101,8
375,3;305,7;7,6;7,6;8,8;732,2;0,5;318,9;334,5;139039;402,0;1101,8
375,3;305,6;6,9;6,9;6,8;704,5;0,5;318,9;334,5;141405;402,4;1101,8
375,2;305,1;5,5;5,1;5,1;672,9;0,5;318,9;334,4;140859;402,1;1101,8
375,0;305,6;5,7;5,0;4,8;685,7;0,4;318,9;334,4;140192;402,3;1101,8
375,3;304,2;10,2;10,7;10,2;673,0;0,4;318,9;334,5;139883;403,7;1101,8
375,3;305,2;8,0;7,5;8,7;727,7;0,5;318,8;334,5;139767;403,5;1101,8
375,3;305,4;7,6;7,6;8,8;730,2;0,5;318,8;334,5;139538;403,3;1101,9
375,3;306,1;5,9;5,3;5,3;689,6;0,5;318,8;334,5;140252;403,1;1101,9
375,2;304,3;11,5;12,3;11,1;681,3;0,5;318,8;334,5;140068;402,9;1101,9
375,3;304,2;11,7;12,1;11,4;686,6;0,5;318,8;334,4;139396;402,6;1101,9
375,4;305,6;7,7;7,7;8,6;731,0;0,5;318,9;334,4;140939;402,5;1101,9
375,2;304,6;5,3;4,7;4,7;683,2;0,5;318,9;334,4;141316;402,5;1102,0
375,3;304,4;5,2;4,8;4,7;674,8;0,4;318,9;334,4;139978;402,4;1102,0
375,3;305,0;9,5;8,7;9,8;717,5;0,4;319,0;334,4;139046;402,2;1102,0
375,3;305,5;5,7;5,2;5,1;688,5;0,5;318,9;334,4;141282;402,1;1102,0
375,2;305,2;5,2;4,6;4,6;677,8;0,5;318,9;334,5;139773;402,1;1102,0
375,3;305,7;8,4;7,7;9,1;723,9;0,4;318,8;334,5;141120;402,2;1102,1
375,3;304,4;5,7;5,2;5,2;672,7;0,5;318,8;334,4;140170;402,2;1102,1
375,3;304,4;10,2;10,7;10,2;672,6;0,4;318,9;334,4;138214;402,3;1102,1
375,4;305,4;6,6;6,5;6,5;702,3;0,5;318,9;334,5;139821;402,3;1102,1
375,2;305,8;8,1;7,6;9,0;727,9;0,5;318,9;334,5;138138;402,5;1102,1
375,3;305,1;7,7;7,9;8,1;721,9;0,5;319,0;334,5;140128;402,3;1102,1
375,3;304,7;11,5;11,5;11,1;695,8;0,5;319,0;334,6;138555;401,7;1102,1
375,4;305,5;6,2;5,8;5,7;694,5;0,5;319,0;334,6;141150;402,2;1102,1
375,3;304,6;5,2;4,6;4,5;679,2;0,5;319,0;334,6;139841;402,5;1102,2
375,4;305,2;9,1;8,3;9,3;719,2;0,4;318,9;334,6;139948;402,6;1102,2
375,3;305,6;5,6;4,9;4,8;683,3;0,5;318,9;334,6;141084;402,6;1102,2
375,3;304,6;9,0;9,2;9,0;669,9;0,5;318,9;334,6;139131;402,5;1102,2
375,3;305,4;7,7;8,0;8,4;731,3;0,4;318,9;334,6;140495;402,6;1102,2
375,3;304,8;10,5;10,9;10,4;674,1;0,5;318,8;334,5;139958;402,4;1102,2
